X,Y
-13209129.6018,4034057.1891
-13209113.9742,4034052.0005
-13208904.649,4034094.3264
-13208795.7979,4034014.4868
-13208732.6457,4034003.9777
-13208749.187,4034015.3768
-13208693.4362,4034003.8779
-13208681.8538,4033997.7992
-13208667.6579,4033993.5305
-13208662.0057,4034004.4264
-13208650.145,4033989.0023
-13208635.5329,4033987.2095
-13208618.0597,4033993.5026
-13208785.7961,4034000.8133
-13208714.7577,4034003.4266
-13208571.011,4033985.0858
-13208562.6668,4033975.9862
-13209144.3298,4034111.0069
-13208544.8979218,4033977.01300126
-13208529.8694173,4033973.4932674
-13209105.5326,4034120.5005
-13208513.247,4033969.3405
-13208491.0929,4033961.6633
-13195736.4584,4033802.4139
-13195908.8918,4033993.6504
-13195922.9986,4033997.8684
-13195938.1842,4034007.6752
-13195956.4766,4034013.6396
-13195971.6825,4034022.9295
-13195985.4962,4034024.3277
-13195998.5299,4034025.8601
-13196009.4913,4034030.2763
-13196037.4652,4034038.0191
-13196017.3489,4034052.4521
-13196006.9884,4034050.0839
-13195992.393,4034051.418
-13196036.0384,4034055.5444
-13209457.0285,4034840.5382
-13209408.8087,4034750.4014
-13209451.1193,4034333.6113
-13198900.9847,4034576.5554
-13198936.0826,4034470.6978
-13207729.5536,4034089.2841
-13199347.1219107,4035125.42132509
-13199366.6340773,4035109.14355602
-13199172.615,4034534.9813
-13199533.521,4034707.6448
-13199538.8963,4034732.1693
-13199539.5615,4034754.9281
-13199536.6129,4034774.6378
-13199536.8621,4034795.4835
-13199534.6834,4034814.0786
-13199536.2973,4034841.8892
-13199537.6811,4034859.8347
-13199540.2939,4034882.2448
-13199539.1679,4034906.0161
-13199010.1727,4034489.0926
-13199083.8946,4034508.7233
-13199128.7637,4034512.2266
-13199203.523,4034538.8259
-13199250.6154,4034542.4958
-13199382.2169887,4035093.4564001
-13199394.9158185,4035074.46944299
-13207900.9423,4034286.7303
-13207936.4923,4034300.0892
-13207947.2398,4034368.4494
-13198986.6414,4034482.181
-13199038.6944,4034484.9399
-13199067.5552,4034491.69
-13199109.5131,4034512.2597
-13199151.0189,4034521.1641
-13199230.5003,4034544.9247
-13199406.9885393,4035054.32491502
-13199533.2497,4034932.2015
-13199521.7527,4034950.9427
-13199510.3265,4034975.073
-13199421.2256853,4035036.92803376
-13200020.2632867,4034702.17517729
-13199987.7585,4034738.0741
-13199969.4465,4034748.5648
-13199952.5204,4034758.7814
-13200042.4041,4034721.9556
-13200005.5546,4034720.4393
-13199938.7068,4034772.8907
-13199921.3798,4034782.1634
-13199290.5616,4034547.2038
-13199273.6462,4034544.9875
-13199340.415,4034543.4187
-13200074.5463913,4034765.07361335
-13200043.262,4034777.3966
-13200023.4106,4034785.7943
-13199999.6527,4034793.6598
-13199980.6904,4034805.3957
-13199950.0026,4034820.8331
-13207685.3091038,4034134.43240343
-13207630.5047,4034135.9053
-13207913.3335782,4034028.86932812
-13208059.1516249,4034228.21066944
-13208027.1514,4034330.0362
-13207990.7317,4034338.1961
-13199317.8494,4034548.23
-13199367.0557,4034541.9145
-13199404.5259,4034532.6838
-13199477.0643,4034722.7686
-13199478.067,4034744.1737
-13199479.4924,4034766.0363
-13199474.2178,4034808.6349
-13199478.093,4034831.3639
-13199480.2877,4034854.6114
-13199483.4783,4034879.6571
-13199477.5652,4034901.507
-13199471.0505,4034924.0648
-13199489.6546,4034983.2107
-13199384.1192,4034537.9974
-13199482.7898,4034499.4749
-13199556.8538,4034462.1729
-13207544.9014693,4034135.13318548
-13207537.0596234,4034155.67068871
-13207518.6037,4034134.7738
-13207483.0169,4034134.9023
-13207441.2545,4034099.8067
-13207380.3569,4034094.5904
-13198776.6566,4035092.6938
-13198729.3985,4035112.1322
-13198886.5705,4034656.9198
-13198863.4503,4034671.4042
-13198865.8803,4034696.1907
-13198861.7808,4034737.0444
-13198842.3284,4034779.1596
-13198842.7469,4034818.1679
-13198851.3144,4034860.5199
-13198815.2358,4034871.1226
-13198875.2002,4034911.691
-13198832.2547,4034995.148
-13198836.3408,4034932.9251
-13198796.2994,4034932.9477
-13198869.8989,4034986.8516
-13198789.2515,4034969.8287
-13198899.9239,4034963.0912
-13198802.2343,4034996.101
-13198924.9577,4034994.0062
-13198924.8292,4035030.3667
-13198900.6581,4035066.193
-13198876.9629225,4035053.86547681
-13198856.6279,4035076.7428
-13198817.1725,4035079.1304
-13198734.3231,4035083.2521
-13207342.5605,4034074.5248
-13199685.0449,4034409.8315
-13199768.7558,4034350.8105
-13199825.19,4034326.9894
-13199846.5716,4034310.4076
-13199435.8359992,4034537.08179623
-13199586.6885,4034469.5534
-13199902.1878,4034792.5588
-13199653.9073,4034436.8458
-13199866.4969,4034813.3156
-13199723.199,4034393.3705
-13199828.3883,4034833.6311
-13199759.6383,4034371.9431
-13199793.9484,4034852.3579
-13199794.959,4034352.4584
-13199758.2748,4034871.3485
-13199890.9607,4034316.4538
-13199449.8028,4034508.5961
-13199533.4592,4034471.7949
-13199710.6665,4034413.1336
-13199744.0515,4034387.793
-13199804.3188,4034337.7821
-13199869.9437,4034317.9463
-13208593.6706,4033983.3208
-13208812.4516,4034023.0228
-13199712.0859,4034898.3176
-13199629.6582,4034997.8491
-13199649.8215,4034993.8925
-13192508.2135,4035606.2629
-13192476.6462,4035502.6842
-13192556.325,4035332.9591
-13192496.7309,4035330.2466
-13192585.3117,4035258.3604
-13192629.8845,4035092.5773
-13192635.8521,4034917.7462
-13192674.0015,4035330.7702
-13192666.3603,4035248.4189
-13192717.6394,4035261.2398
-13192753.3609,4035229.7242
-13192748.6097,4035196.2292
-13194611.1166,4035296.5968
-13194640.4794,4033683.2445
-13194638.1913,4033704.4791
-13194616.7103,4033692.9511
-13194612.9488,4033709.3856
-13194633.9458,4033720.3494
-13194610.9059,4033807.3479
-13194593.0962,4033796.0413
-13194590.3452,4033800.7655
-13194620.0229,4033791.6795
-13194595.0262,4033775.5766
-13192522.0223,4035644.4899
-13192441.9686,4035506.5113
-13192605.4388,4035034.174
-13192644.032,4034856.5252
-13192639.4229,4035231.0153
-13192708.9531431,4035133.52362316
-13192776.4121,4035126.6181
-13209725.6019,4034155.6665
-13207403.6084,4034107.2628
-13207361.3047,4034056.2271
-13207767.598,4034104.7365
-13207831.0681,4034323.161
-13207880.7671,4034409.1452
-13207810.9933,4034396.0371
-13207761.3432,4034314.9182
-13207545.8612,4034209.2592
-13207495.8537,4034213.7128
-13194713.6702,4033694.7423
-13194711.6213,4033716.2023
-13194709.9604,4033736.6226
-13194733.2771,4033735.4465
-13194707.1129,4033754.8185
-13194698.2772,4033770.3949
-13194723.3278,4033776.9742
-13194626.9412,4033736.5524
-13194606.5044,4033734.3225
-13194625.8181,4033755.0993
-13194694.7664,4033806.4006
-13194690.7519,4033824.3565
-13194688.1947,4033840.8626
-13194686.8929,4033860.1523
-13194676.648,4033879.1506
-13194673.5453,4033899.4743
-13194671.3838,4033920.1318
-13194538.0006,4035314.0826
-13194590.302,4035410.4271
-13194584.027,4035099.9615
-13194597.1301,4035081.415
-13194608.2924,4035066.5619
-13194596.7778,4035061.4432
-13194623.9632,4035052.3612
-13194616.9599,4035033.2714
-13194634.7583,4035015.7983
-13194610.5841,4035015.4176
-13194640.0353,4035001.1846
-13194648.3231,4034982.6083
-13194630.8559,4034975.7804
-13194638.6622,4034957.1327
-13194654.1996,4034964.0646
-13194657.7475,4034946.3343
-13194659.4982,4034926.447
-13194631.1336,4034919.5528
-13194651.2781,4034909.0917
-13199561.9198,4034990.4065
-13198683.1022,4035191.0454
-13198708.1477,4035261.6201
-13198774.6107,4035319.7985
-13193517.1141,4034016.1173
-13193514.113,4033987.5135
-13193434.2248,4034087.162
-13193448.1508,4034121.1201
-13193444.5586,4034158.7803
-13193439.8076,4034045.9491
-13194588.0332,4033651.1398
-13194583.8737,4033676.5118
-13194580.5684,4033709.8695
-13194576.1432,4033722.512
-13194571.6079,4033742.2766
-13194596.54,4033698.281
-13194254.9063,4035957.4138
-13194269.5547,4036001.8808
-13194296.4885,4035923.0137
-13194242.0176,4035908.4226
-13194221.8374,4035908.7847
-13194062.8991,4035654.4385
-13194055.9942,4035638.8691
-13194082.1424,4035626.5542
-13193517.8166,4033960.1949
-13194543.978,4033632.1596
-13194510.0792,4033643.6171
-13194531.9606,4033655.8965
-13194522.2416,4033672.6833
-13194515.9601,4033690.639
-13194500.5761,4033677.4195
-13194514.1423,4033710.5651
-13194500.957,4033708.9825
-13198694.7227,4035231.3977
-13198744.9874,4035290.5619
-13198705.3608,4035343.556
-13198796.7615,4035386.5855
-13199469.8978,4034992.5028
-13199457.1428,4035008.4337
-13199435.8865,4035018.8948
-13199254.6734,4034987.179
-13199306.5461,4035020.9042
-13199319.401,4034997.6171
-13199882.814,4034808.068
-13199875.9661,4034868.4904
-13199830.7205,4034889.8386
-13199797.4073,4034916.8629
-13199780.5251,4034925.0291
-13199755.7719,4034938.9563
-13199743.5383,4034945.9074
-13199721.0841,4034965.0524
-13199712.4604,4034976.0833
-13199690.9789,4034988.0682
-13199576.6998,4034972.9889
-13199543.056,4035007.921
-13199847.9251,4034822.9166
-13199818.0013,4034843.271
-13199780.4412,4034862.3978
-13199695.8258,4034910.571
-13199678.952,4034922.7677
-13199642.4906,4034945.1241
-13199667.2851,4034996.3454
-13199607.4096,4035030.2487
-13199589.2862,4035044.331
-13192537.0731,4035546.9618
-13192470.6427,4035455.4204
-13192434.9928,4035386.0043
-13192533.2012,4035323.4056
-13192545.2475,4035286.6818
-13192619.5165,4034953.3069
-13192643.3662,4035245.7015
-13192664.1592,4035216.3579
-13192700.5725,4035212.8699
-13209693.5252,4034157.1441
-13194489.6786,4035134.5493
-13194543.694,4035208.1144
-13194539.5634,4035269.1513
